Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,Weight,Type
13468,100,MYCOGEN,LUBRIZOL,2990,6830,1992,LUBRIZOL CP,MYCOGEN CORP,3.599999904632568,120.5130014419556,1525.5,.029872295,Directed
13468,100,MYCOGEN,KUBOTA,3523,6506,1992,KUBOTA CORP,MYCOGEN CORP,1.400000035762787,154.5070018768311,17616.57836914063,.0090610785,Directed
13155,100,MARGOCARIBE,HOMEDEPOT,5211,5680,1992,HOME DEPOT,MARGO CARIBE INC,.2290000021457672,2.080000013113022,5136.673950195313,.11009616,Directed
12750,100,AMERNNURSERYODS,WAART,5331,11259,1992,WAL-MART,AMERICAN NURSERY PRODS INC,4.313000202178955,49.78400087356567,99370.35546875,.086634263,Directed
19965,800,POPERESOURCESDE,POPETALBOT,2611,8675,1992,POPE&TALBOT,POPE RESOURCES/DE  -LP,6.352000117301941,88.62800073623657,1675.546012878418,.071670353,Directed
13097,800,IPTIMBERLANDS,PAPER,2631,6104,1992,INTL PAPER,IP TIMBERLANDS  -LP-CL A,417.4089965820313,960.5049934387207,39986,.43457243,Directed
13156,800,RAYONIERTIMBERLANDS,RAYONIER,6798,5862,1992,RAYONIER,RAYONIER TIMBERLANDS  -LP,65.92300033569336,339.8859977722168,2888.933029174805,.19395621,Directed
11993,1000,CYUSAMAXMINERALS,JOHNSNJHNS,2834,6266,1992,JOHNSN&JHNS,CYPRUS AMAX MINERALS CO,0,1656.516998291016,12447,.1,Directed
9728,1040,MCEWENMINING,NERCO,1221,7815,1992,NERCO INC,MCEWEN MINING INC,.5,.5000000186264515,577.5999984741211,.99999994,Directed
14465,1040,GETCHELLG,ENGELHARD,2810,4371,1992,ENGELHARD SA,GETCHELL GOLD CORP,0,78.77299976348877,2150.865020751953,.1,Directed
4878,1040,FRANKLINMINING,ASARCO,3330,1789,1992,ASARCO,FRANKLIN MINING INC,.1169999986886978,.1169999996200204,5556.655975341797,1,Directed
11440,1220,WESTMORELANDCOAL,GEORGIAPWR,4911,5135,1992,GEORGIA PWR,WESTMORELAND COAL CO,46.15900039672852,469.8980026245117,4451.180969238281,.098231956,Directed
