Source,sic_supplier,comp_supplier,comp_customer,sic_customer,Target,year3,conm_customer,conm_supplier,salecs_supplier,sales_supplier,sales_customer,share
13468,100,MYCOGEN,LUBRIZOL,2990,6830,1995,LUBRIZOL CP,MYCOGEN CORP,6.899999856948853,385.8329982757568,4860.149963378906,.017883385
19965,800,POPERESOURCESDE,POPETALBOT,2611,8675,1995,POPE&TALBOT,POPE RESOURCES/DE  -LP,.4519999921321869,30.51600027084351,659.8729858398438,.014811901
13097,800,IPTIMBERLANDS,PAPER,2631,6104,1995,INTL PAPER,IP TIMBERLANDS  -LP-CL A,483.1879959106445,1006.570003509521,54906,.48003417
13156,800,RAYONIERTIMBERLANDS,RAYONIER,6798,5862,1995,RAYONIER,RAYONIER TIMBERLANDS  -LP,62.29599952697754,482.3129997253418,3508.026016235352,.12916094
63967,1000,DOMINIONMINERALS,MCROSOFT,7372,12141,1995,MICROSOFT,DOMINION MINERALS CORP,0,.4409999921917915,8671,.1
14465,1040,GETCHELLG,ENGELHARD,2810,4371,1995,ENGELHARD SA,GETCHELL GOLD CORP,0,95.15000152587891,2385.802062988281,.1
200856,1040,MINASBUENAVENTURA,ASARCO,3330,1789,1995,ASARCO,MINAS BUENAVENTURA SA,53.10200119018555,91.55599975585938,3197.752990722656,.5799948
1231,1040,ALASK,MUELLERIND,3350,15343,1995,MUELLER IND,ALASKA GOLD CO,5.309000015258789,5.537000115960836,550.0030059814453,.95882243
14151,1090,AMERNRAREEARTHSMTRLS,BAXTER,2834,2086,1995,BAXTER INTL,AMERICAN RARE EARTHS & MTRLS,.2100000027567148,.3330000003334135,10486,.63063061
11440,1220,WESTMORELANDCOAL,GEORGIAPWR,4911,5135,1995,GEORGIA PWR,WESTMORELAND COAL CO,58.88899803161621,504.9990005493164,8567.740844726563,.11661211
15274,1220,WALTERENERGY,ALABAMAPWR,4911,1225,1995,ALABAMA PWR,WALTER ENERGY INC,90.52799987792969,2992.696014404297,6145.548950195313,.030249648
22150,1220,BLUEDIAMONDCOAL,GEORGIAPWR,4911,5135,1995,GEORGIA PWR,BLUE DIAMOND COAL CO,85.78000068664551,256.0349960327148,12984.51983642578,.33503231
30730,1220,ZEIGLERCOALHING,GEORGIAPWR,4911,5135,1995,GEORGIA PWR,ZEIGLER COAL HOLDING CO,314.7969970703125,2385.61701965332,12984.51983642578,.13195622
1797,1311,ASPENEXPLORATION,CAMBIOR,1040,14077,1995,CAMBIOR,ASPEN EXPLORATION CORP -OLD,.1899999976158142,.4040000140666962,306.6300048828125,.47029701
1544,1311,AMERACENERGY,MARATHONOIL,1311,7017,1995,MARATHON OIL,AMERAC ENERGY CORP,1.52700001001358,8.453000128269196,21386,.18064593
5129,1311,GEORESOURCES,APACHE,1311,1678,1995,APACHE CP,GEORESOURCES INC -OLD,.2100000008940697,5.334000021219254,1333.026992797852,.039370079
5757,1311,HOWELL,MARATHONOIL,1311,7017,1995,MARATHON OIL,HOWELL CORP,289.864990234375,1807.005027770996,34950,.16041183
6155,1311,HUNTERRESOURCES,ORYXENERGY,1311,14878,1995,ORYX ENERGY,HUNTER RESOURCES INC,.386000007390976,2.146000027656555,1082,.17986953
6896,1311,MSREXPLORATION,MURPHYOIL,1311,7620,1995,MURPHY OIL,MSR EXPLORATION LTD,0,2.421999990940094,1668.821990966797,.1
8049,1311,REMINGTONOILGSB,MARATHONOIL,1311,7017,1995,MARATHON OIL,REMINGTON OIL&GAS CP  -CL B,23.86200046539307,118.7370004653931,21386,.20096517
8324,1311,HARCORENERGY,SHELLOIL,1311,9653,1995,SHELL OIL,HARCOR ENERGY CO,7.65500020980835,28.35099983215332,28823,.27000812
8627,1311,PLAINSRESOURCES,MARATHONOIL,1311,7017,1995,MARATHON OIL,PLAINS RESOURCES INC,23.42399978637695,629.2989883422852,13564,.037222371
8627,1311,PLAINSRESOURCES,UNOCAL,1311,11038,1995,UNOCAL,PLAINS RESOURCES INC,55.79600143432617,629.2989883422852,5101,.088663742
9022,1311,GENENERRESOURCETECH,SHELLOIL,1311,9653,1995,SHELL OIL,GENERAL ENER RESOURCE & TECH,.1680000014603138,.9119999967515469,74747,.18421052
9406,1311,SANTAFESNYDER,SHELLOIL,1311,9653,1995,SHELL OIL,SANTA FE SNYDER CORP,300.5999984741211,1416.699981689453,74747,.21218324
9437,1311,,MARATHONOIL,1311,7017,1995,MARATHON OIL,HALLWOOD ENERGY CORP-OLD,1.476000010967255,0,21386,1
12039,1311,CONVESTENERGYTX,MURPHYOIL,1311,7620,1995,MURPHY OIL,CONVEST ENERGY CORP/TX,.4699999988079071,46.78800106048584,1668.821990966797,.01004531
12044,1311,HALLWDENERGY,MARATHONOIL,1311,7017,1995,MARATHON OIL,HALLWOOD ENERGY CORP,5.26800012588501,49.77700018882751,10215,.10583201
12510,1311,TERRITORIALRESOURCES,SNYDEROIL,1311,22255,1995,SNYDER OIL,TERRITORIAL RESOURCES INC,.0060000000521541,.0210000000661239,206.9819984436035,.2857143
20198,1311,,MURPHYOIL,1311,7620,1995,MURPHY OIL CO,TIKAL RESOURCES CORP,0,0,1612.499969482422,1
22668,1311,NUEVOENERGY,UNOCAL,1311,11038,1995,UNOCAL CORP,NUEVO ENERGY CO,168.6009979248047,321.435001373291,5101,.52452594
31101,1311,,MURPHYOIL,1311,7620,1995,MURPHY OIL,OCEAN ENERGY INC-OLD,47.5310001373291,0,3620.949920654297,1
