Source,Target,Weight
13468,6830,.017883385
19965,8675,.014811901
13097,6104,.48003417
13156,5862,.12916094
63967,12141,.1
14465,4371,.1
200856,1789,.5799948
1231,15343,.95882243
14151,2086,.63063061
11440,5135,.11661211
15274,1225,.030249648
22150,5135,.33503231
30730,5135,.13195622
1797,14077,.47029701
1544,7017,.18064593
5129,1678,.039370079
5757,7017,.16041183
6155,14878,.17986953
6896,7620,.1
8049,7017,.20096517
8324,9653,.27000812
8627,7017,.037222371
8627,11038,.088663742
9022,9653,.18421052
9406,9653,.21218324
9437,7017,1
12039,7620,.01004531
12044,7017,.10583201
12510,22255,.2857143
20198,7620,1
22668,11038,.52452594
31101,7620,1
31101,9653,1
63985,9653,.27467763
25628,4584,.1
20553,9772,.040404037
1678,15257,.1
2437,114303,.14000697
2929,114303,.31972787
2930,15257,.1
4844,2991,.12560971
7276,7008,.31092483
8341,10482,.099915139
8521,2991,.18239582
8521,10482,.4425
8627,2991,.099983491
9022,2991,.49665326
9505,10482,.20066153
9505,114303,.12969284
9859,4503,.078992561
10148,15257,.083506227
10148,114303,.10942249
10296,15257,.14981273
11170,10482,.11510102
11923,10482,.12232785
12042,2991,.02695046
12044,114303,.2537308
13551,2991,.78306919
14398,1537,.1
14878,2991,.08727318
15060,2991,.1
15291,10482,.096031263
20064,114303,.20540427
20553,1537,.030303029
22255,15257,.10572729
23976,114303,.11999439
25351,114303,.12999883
25533,10482,.12151013
25628,114303,.1
25956,15257,.36968553
27786,10482,.077973858
30213,2991,.1978198
30213,114303,.12867631
61058,114303,.19639894
62756,15257,.18999818
25628,62241,.1
10148,10165,.086124405
8755,8325,.19226637
10148,8325,.094224922
15060,9810,.1
22255,8325,.1099999
22962,10690,1
25240,8325,.55380249
25956,8325,.14580429
27786,29044,.28180313
62756,8325,.37999636
10437,1746,.11250245
61058,8151,.20489581
2697,8001,1
14815,4769,.20528243
1446,6127,.25683925
8324,6127,.17999366
8655,6127,.28461072
11170,6127,.17294733
20653,6127,.1
31101,6127,1
63923,6127,.53995758
64168,6127,.42740324
64201,6127,.050469484
14815,63598,.23599999
26069,9161,.14998986
2507,24997,.11963303
2304,7017,.18345526
4367,14878,.027995832
5187,9653,.054700855
8974,9653,.211211
13276,11558,.1
14908,9653,1
28921,7017,.15000166
28921,9653,.24300228
29108,22255,.1
61409,9653,.13799945
64876,9653,.20439334
65764,2982,.15443312
1308,2991,.15000001
2270,4503,.047938965
4367,2991,.025000924
4367,10482,.053315647
8357,2991,.17605904
9258,15257,.10518266
10306,10482,.27751297
10306,15257,.02356956
11644,10482,.11762097
13276,10482,.1
14458,10482,.12000333
28703,2991,.049997602
29108,2991,.1
29108,6127,.1
1308,19349,.070111729
13174,7017,.11655777
25229,14878,.061764393
102983,9653,.15500091
62012,9589,.1410519
65221,1537,.19999585
30064,5439,.19398776
25509,2991,.34499535
25509,4503,.090721376
25509,10482,.13255179
25509,114303,.089009225
28621,2991,.11415032
65910,15257,.11463734
29317,7585,.15297338
29317,6008,.09138523
29317,23767,.10305455
5559,6229,.094319701
22838,2991,.10632723
29235,10482,.1
2497,13683,.30999985
30936,10984,.096717753
2497,2146,.20144472
4115,4961,.095933788
7635,8290,.19499782
2340,10482,.062882245
65881,3022,1
65881,4839,1
65881,5073,1
24749,7585,.1
24749,17110,.1
24749,3022,.1
24749,4839,.1
63010,1485,.64969766
24749,6066,.1
64072,9359,1
9303,5071,.10328168
4050,8479,.10302637
7696,23942,.1
11713,11259,.14911644
12614,5208,.24557939
12409,11259,.17085877
13324,16603,.14001133
11424,12409,.33473662
66643,2663,.0099415137
25362,10247,.12099513
5141,11259,.21076818
10899,1240,.33741406
10899,6502,.30916452
64102,1240,.10554666
6029,16603,.17544284
62169,5229,.81194216
6029,4769,.1228238
29434,9359,.14794336
6029,25300,.16998342
11748,5134,.13999815
64526,221616,.72327042
25026,3813,.2649062
28701,11259,.10499991
