Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles
65158,,,0,1,1,0,1,1,14,0.143025,0.152431,0,0,0
18636,,,3,0,3,3,0,3,13,0.166882,0.182846,6206,0,0
13155,,,0,1,1,0,1,1,12,0.176105,0.19191,0,0,0
5680,,,50,0,50,50,0,50,11,0.213725,0.248286,96684.108921,0,0
111868,,,0,2,2,0,2,2,12,0.17965,0.196493,95.561113,0,0
6829,,,16,0,16,16,0,16,13,0.187999,0.210271,9551.136177,0,0
30443,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
11259,,,194,0,194,194,0,194,11,0.25,0.326829,525617.023216,0.000214,4
64275,,,0,1,1,0,1,1,12,0.200019,0.229198,0,0,0
3801,,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0
65092,,,2,0,2,2,0,2,1,1,1,1,0,0
19965,,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0
11456,,,2,0,2,2,0,2,1,1,1,1,0,0
148352,,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0
163023,,,2,0,2,2,0,2,1,1,1,1,0,0
12466,,,0,1,1,0,1,1,12,0.201048,0.219853,0,0,0
7585,,,42,8,50,42,8,50,11,0.25161,0.294363,322303.443846,0.002551,3
3107,,,0,4,4,0,4,4,13,0.169158,0.180661,6207,0,0
15711,,,1,0,1,1,0,1,14,0.144694,0.151535,0,0,0
24321,,,1,0,1,1,0,1,14,0.144694,0.151535,0,0,0
29954,,,1,0,1,1,0,1,14,0.144694,0.151535,0,0,0
29968,,,1,2,3,1,2,3,12,0.203458,0.223317,8414.121659,0,0
13516,,,0,1,1,0,1,1,12,0.191458,0.20773,0,0,0
25180,,,56,0,56,56,0,56,11,0.236767,0.273691,246260.058459,0,0
146132,,,0,1,1,0,1,1,13,0.172742,0.184548,0,0,0
6268,,,7,3,10,7,3,10,12,0.208791,0.231906,10599.40063,0.111111,5
61419,,,0,1,1,0,1,1,13,0.175628,0.192029,0,0,0
61718,,,1,5,6,1,5,6,12,0.213022,0.245769,7920.034846,0,0
5560,,,0,1,1,0,1,1,14,0.143015,0.151316,0,0,0
7471,,,5,0,5,5,0,5,13,0.166868,0.181038,8274,0,0
7881,,,0,1,1,0,1,1,3,0.5,0.611111,0,0,0
12673,,,2,0,2,2,0,2,2,0.75,0.833333,2,0,0
11440,,,0,1,1,0,1,1,1,1,1,0,0,0
151829,,,1,0,1,1,0,1,1,1,1,0,0,0
14793,,,0,3,3,0,3,3,13,0.148342,0.156382,11399.025339,0,0
1440,,,6,0,6,6,0,6,13,0.166439,0.177514,35606.529716,0,0
2783,,,2,0,2,2,0,2,12,0.16247,0.171591,6708.190561,0,0
9850,,,2,0,2,2,0,2,14,0.129252,0.134804,8268,0,0
122915,,,0,1,1,0,1,1,1,1,1,0,0,0
10447,,,1,0,1,1,0,1,1,1,1,0,0,0
123714,,,8,1,9,8,1,9,12,0.19769,0.214103,51544.311992,0,0
126046,,,0,2,2,0,2,2,2,0.75,0.833333,2,0,0
5135,,,2,0,2,2,0,2,2,0.75,0.833333,2,0,0
6397,,,1,0,1,1,0,1,3,0.5,0.611111,0,0,0
141400,,,0,2,2,0,2,2,14,0.142837,0.149798,14448,0,0
160838,,,0,1,1,0,1,1,3,0.5,0.611111,0,0,0
